-1.#IND	0	-1.#IND	0
1.#INF	2	1.#INF	4
1.#INF	2	1.#INF	4
1.#INF	2	1.#INF	4
1.#INF	2	1.#INF	4
1.#INF	2	1.#INF	4
1.#INF	2	1.#INF	4
1.#INF	2	1.#INF	4
1.#INF	2	1.#INF	4
1.#INF	2	1.#INF	4
1.#INF	2	1.#INF	4
1.#INF	2	1.#INF	4
1.#INF	2	1.#INF	4
1.#INF	2	1.#INF	4
1.#INF	2	1.#INF	4
1.#INF	2	1.#INF	4
1.#INF	2	1.#INF	4
1.#INF	2	1.#INF	4
1.#INF	2	1.#INF	4
1.#INF	2	1.#INF	4
1.#INF	2	1.#INF	4
1.#INF	2	1.#INF	4
1.#INF	2	1.#INF	4
1.#INF	2	1.#INF	4
1.#INF	2	1.#INF	4
1.#INF	2	1.#INF	4
1.#INF	2	1.#INF	4
1.#INF	2	1.#INF	4
1.#INF	2	1.#INF	4
1.#INF	2	1.#INF	4
1.#INF	2	1.#INF	4
1.#INF	2	1.#INF	4
1.#INF	2	1.#INF	4
1.#INF	2	1.#INF	4
1.#INF	2	1.#INF	4
1.#INF	2	1.#INF	4
1.#INF	2	1.#INF	4
1.#INF	2	1.#INF	4
1.#INF	2	1.#INF	4
1.#INF	2	1.#INF	4
1.#INF	2	1.#INF	4
1.#INF	2	1.#INF	4
1.#INF	2	1.#INF	4
1.#INF	2	1.#INF	4
1.#INF	2	1.#INF	4
1.#INF	2	1.#INF	4
1.#INF	2	1.#INF	4
1.#INF	2	1.#INF	4
1.#INF	2	1.#INF	4
1.#INF	2	1.#INF	4
1.#INF	2	1.#INF	4
1.#INF	2	1.#INF	4
1.#INF	2	1.#INF	4
1.#INF	2	1.#INF	4
1.#INF	2	1.#INF	4
1.#INF	2	1.#INF	4
1.#INF	2	1.#INF	4
1.#INF	2	1.#INF	4
1.#INF	2	1.#INF	4
1.#INF	2	1.#INF	4
1.#INF	2	1.#INF	4
1.#INF	2	1.#INF	4
1.#INF	2	1.#INF	4
1.#INF	2	1.#INF	4
1.#INF	2	1.#INF	4
1.#INF	2	1.#INF	4
1.#INF	2	1.#INF	4
1.#INF	2	1.#INF	4
1.#INF	2	1.#INF	4
1.#INF	2	1.#INF	4
1.#INF	2	1.#INF	4
1.#INF	2	1.#INF	4
1.#INF	2	1.#INF	4
1.#INF	2	1.#INF	4
1.#INF	2	1.#INF	4
1.#INF	2	1.#INF	4
1.#INF	2	1.#INF	4
1.#INF	2	1.#INF	4
1.#INF	2	1.#INF	4
1.#INF	2	1.#INF	4
1.#INF	2	1.#INF	4
1.#INF	2	1.#INF	4
1.#INF	2	1.#INF	4
1.#INF	2	1.#INF	4
1.#INF	2	1.#INF	4
1.#INF	2	1.#INF	4
1.#INF	2	1.#INF	4
1.#INF	2	1.#INF	4
1.#INF	2	1.#INF	4
1.#INF	2	1.#INF	4
1.#INF	2	1.#INF	4
1.#INF	2	1.#INF	4
1.#INF	2	1.#INF	4
1.#INF	2	1.#INF	4
1.#INF	2	1.#INF	4
1.#INF	2	1.#INF	4
1.#INF	2	1.#INF	4
1.#INF	2	1.#INF	4
1.#INF	2	1.#INF	4
1.#INF	2	1.#INF	4
