0	387	0	283
0.196106	115	0.0988001	26
0.392212	33	0.1976	27
0.588318	63	0.2964	40
0.784424	47	0.3952	41
0.98053	51	0.494	71
1.17664	24	0.5928	52
1.37274	66	0.691601	56
1.56885	43	0.790401	33
1.76495	83	0.889201	32
0	384	0	283
0.106452	58	0.0988001	24
0.212903	81	0.1976	30
0.319355	67	0.2964	37
0.425806	18	0.3952	45
0.532258	41	0.494	62
0.63871	37	0.5928	61
0.745161	38	0.691601	50
0.851613	48	0.790401	33
0.958065	29	0.889201	32
0	386	0	283
0.104086	56	0.0988001	24
0.208172	82	0.1976	30
0.312258	66	0.2964	37
0.416344	19	0.3952	45
0.52043	41	0.494	62
0.624516	30	0.5928	61
0.728602	38	0.691601	50
0.832688	51	0.790401	33
0.936774	24	0.889201	32
0	387	0	283
0.10397	56	0.0988001	24
0.207941	81	0.1976	30
0.311911	67	0.2964	37
0.415881	19	0.3952	46
0.519852	40	0.494	62
0.623822	31	0.5928	61
0.727793	38	0.691601	50
0.831763	51	0.790401	33
0.935733	24	0.889201	32
0	388	0	283
0.103847	56	0.0981037	25
0.207693	81	0.196207	29
0.31154	67	0.294311	40
0.415387	19	0.392415	46
0.519234	40	0.490519	60
0.62308	31	0.588622	57
0.726927	38	0.686726	53
0.830774	49	0.78483	32
0.934621	26	0.882933	33
0	389	0	283
0.103714	56	0.0981037	26
0.207429	81	0.196207	28
0.311143	66	0.294311	41
0.414857	20	0.392415	49
0.518571	40	0.490519	57
0.622286	30	0.588622	58
0.726	39	0.686726	54
0.829714	48	0.78483	29
0.933429	26	0.882933	35
0	390	0	283
0.103572	56	0.0981037	28
0.207144	81	0.196207	27
0.310716	65	0.294311	40
0.414288	21	0.392415	55
0.51786	40	0.490519	56
0.621432	30	0.588622	61
0.725004	38	0.686726	49
0.828576	48	0.78483	33
0.932148	19	0.882933	28
0	391	0	283
0.103419	56	0.0981037	28
0.206838	80	0.196207	27
0.310256	66	0.294311	40
0.413675	21	0.392415	54
0.517094	40	0.490519	56
0.620513	30	0.588622	61
0.723932	37	0.686726	49
0.82735	46	0.78483	34
0.930769	21	0.882933	28
0	392	0	283
0.103253	56	0.0981037	28
0.206507	80	0.196207	27
0.30976	66	0.294311	41
0.413013	21	0.392415	56
0.516267	40	0.490519	55
0.61952	29	0.588622	61
0.722773	38	0.686726	54
0.826027	46	0.78483	29
0.92928	19	0.882933	26
0	393	0	283
0.103074	56	0.0981037	28
0.206148	80	0.196207	30
0.309222	66	0.294311	39
0.412296	21	0.392415	57
0.51537	40	0.490519	60
0.618444	29	0.588622	55
0.721519	38	0.686726	59
0.824593	46	0.78483	28
0.927667	17	0.882933	24
0	393	0	284
0.101538	57	0.0981037	27
