-1.#IND	0	-1.#IND	0
1.#INF	131	1.#INF	131
1.#INF	131	1.#INF	131
1.#INF	131	1.#INF	131
1.#INF	131	1.#INF	131
1.#INF	131	1.#INF	131
1.#INF	131	1.#INF	131
1.#INF	131	1.#INF	131
1.#INF	131	1.#INF	131
1.#INF	131	1.#INF	131
1.#INF	131	1.#INF	131
1.#INF	131	1.#INF	131
1.#INF	131	1.#INF	131
1.#INF	131	1.#INF	131
1.#INF	131	1.#INF	131
1.#INF	131	1.#INF	131
1.#INF	131	1.#INF	131
1.#INF	131	1.#INF	131
1.#INF	131	1.#INF	131
1.#INF	131	1.#INF	131
1.#INF	131	1.#INF	131
1.#INF	131	1.#INF	131
1.#INF	131	1.#INF	131
1.#INF	131	1.#INF	131
1.#INF	131	1.#INF	131
1.#INF	131	1.#INF	131
1.#INF	131	1.#INF	131
1.#INF	131	1.#INF	131
1.#INF	131	1.#INF	131
1.#INF	131	1.#INF	131
1.#INF	131	1.#INF	131
1.#INF	131	1.#INF	131
1.#INF	131	1.#INF	131
1.#INF	131	1.#INF	131
1.#INF	131	1.#INF	131
1.#INF	131	1.#INF	131
1.#INF	131	1.#INF	131
1.#INF	131	1.#INF	131
1.#INF	131	1.#INF	131
1.#INF	131	1.#INF	131
1.#INF	131	1.#INF	131
1.#INF	131	1.#INF	131
1.#INF	131	1.#INF	131
1.#INF	131	1.#INF	131
1.#INF	131	1.#INF	131
1.#INF	131	1.#INF	131
1.#INF	131	1.#INF	131
1.#INF	131	1.#INF	131
1.#INF	131	1.#INF	131
1.#INF	131	1.#INF	131
1.#INF	131	1.#INF	131
1.#INF	131	1.#INF	131
1.#INF	131	1.#INF	131
1.#INF	131	1.#INF	131
1.#INF	131	1.#INF	131
1.#INF	131	1.#INF	131
1.#INF	131	1.#INF	131
1.#INF	131	1.#INF	131
1.#INF	131	1.#INF	131
1.#INF	131	1.#INF	131
1.#INF	131	1.#INF	131
1.#INF	131	1.#INF	131
1.#INF	131	1.#INF	131
1.#INF	131	1.#INF	131
1.#INF	131	1.#INF	131
1.#INF	131	1.#INF	131
1.#INF	131	1.#INF	131
1.#INF	131	1.#INF	131
1.#INF	131	1.#INF	131
1.#INF	131	1.#INF	131
1.#INF	131	1.#INF	131
1.#INF	131	1.#INF	131
1.#INF	131	1.#INF	131
1.#INF	131	1.#INF	131
1.#INF	131	1.#INF	131
1.#INF	131	1.#INF	131
1.#INF	131	1.#INF	131
1.#INF	131	1.#INF	131
1.#INF	131	1.#INF	131
1.#INF	131	1.#INF	131
1.#INF	131	1.#INF	131
1.#INF	131	1.#INF	131
1.#INF	131	1.#INF	131
1.#INF	131	1.#INF	131
1.#INF	131	1.#INF	131
1.#INF	131	1.#INF	131
1.#INF	131	1.#INF	131
1.#INF	131	1.#INF	131
1.#INF	131	1.#INF	131
1.#INF	131	1.#INF	131
1.#INF	131	1.#INF	131
1.#INF	131	1.#INF	131
1.#INF	131	1.#INF	131
1.#INF	131	1.#INF	131
1.#INF	131	1.#INF	131
1.#INF	131	1.#INF	131
1.#INF	131	1.#INF	131
1.#INF	131	1.#INF	131
1.#INF	131	1.#INF	131
1.#INF	131	1.#INF	131
