-1.#IND	0	-1.#IND	0
1.#INF	125	1.#INF	1
1.#INF	125	1.#INF	1
1.#INF	125	1.#INF	1
1.#INF	125	1.#INF	1
1.#INF	125	1.#INF	1
1.#INF	125	1.#INF	1
1.#INF	125	1.#INF	1
1.#INF	125	1.#INF	1
1.#INF	125	1.#INF	1
1.#INF	125	1.#INF	1
1.#INF	125	1.#INF	1
1.#INF	125	1.#INF	1
1.#INF	125	1.#INF	1
1.#INF	125	1.#INF	1
1.#INF	125	1.#INF	1
1.#INF	125	1.#INF	1
1.#INF	125	1.#INF	1
1.#INF	125	1.#INF	1
1.#INF	125	1.#INF	1
1.#INF	125	1.#INF	1
1.#INF	125	1.#INF	1
1.#INF	125	1.#INF	1
1.#INF	125	1.#INF	1
1.#INF	125	1.#INF	1
1.#INF	125	1.#INF	1
1.#INF	125	1.#INF	1
1.#INF	125	1.#INF	1
1.#INF	125	1.#INF	1
1.#INF	125	1.#INF	1
1.#INF	125	1.#INF	1
1.#INF	125	1.#INF	1
1.#INF	125	1.#INF	1
1.#INF	125	1.#INF	1
1.#INF	125	1.#INF	1
1.#INF	125	1.#INF	1
1.#INF	125	1.#INF	1
1.#INF	125	1.#INF	1
1.#INF	125	1.#INF	1
1.#INF	125	1.#INF	1
1.#INF	125	1.#INF	1
1.#INF	125	1.#INF	1
1.#INF	125	1.#INF	1
1.#INF	125	1.#INF	1
1.#INF	125	1.#INF	1
1.#INF	125	1.#INF	1
1.#INF	125	1.#INF	1
1.#INF	125	1.#INF	1
1.#INF	125	1.#INF	1
1.#INF	125	1.#INF	1
1.#INF	125	1.#INF	1
1.#INF	125	1.#INF	1
1.#INF	125	1.#INF	1
1.#INF	125	1.#INF	1
1.#INF	125	1.#INF	1
1.#INF	125	1.#INF	1
1.#INF	125	1.#INF	1
1.#INF	125	1.#INF	1
1.#INF	125	1.#INF	1
1.#INF	125	1.#INF	1
1.#INF	125	1.#INF	1
1.#INF	125	1.#INF	1
1.#INF	125	1.#INF	1
1.#INF	125	1.#INF	1
1.#INF	125	1.#INF	1
1.#INF	125	1.#INF	1
1.#INF	125	1.#INF	1
1.#INF	125	1.#INF	1
1.#INF	125	1.#INF	1
1.#INF	125	1.#INF	1
1.#INF	125	1.#INF	1
1.#INF	125	1.#INF	1
1.#INF	125	1.#INF	1
1.#INF	125	1.#INF	1
1.#INF	125	1.#INF	1
1.#INF	125	1.#INF	1
1.#INF	125	1.#INF	1
1.#INF	125	1.#INF	1
1.#INF	125	1.#INF	1
1.#INF	125	1.#INF	1
1.#INF	125	1.#INF	1
1.#INF	125	1.#INF	1
1.#INF	125	1.#INF	1
1.#INF	125	1.#INF	1
1.#INF	125	1.#INF	1
1.#INF	125	1.#INF	1
1.#INF	125	1.#INF	1
1.#INF	125	1.#INF	1
1.#INF	125	1.#INF	1
1.#INF	125	1.#INF	1
1.#INF	125	1.#INF	1
1.#INF	125	1.#INF	1
1.#INF	125	1.#INF	1
1.#INF	125	1.#INF	1
1.#INF	125	1.#INF	1
1.#INF	125	1.#INF	1
1.#INF	125	1.#INF	1
1.#INF	125	1.#INF	1
1.#INF	125	1.#INF	1
1.#INF	125	1.#INF	1
